Time slot,DQNAgent,DoubleDQN,DuelingDQN
380,413.628967,334.7007287,381.0621429
381,368.6903159,299.0975474,365.585991
382,413.320428,323.2410686,374.3216004
383,464.721174,359.0493213,402.963494
384,441.6498496,345.9783165,383.493068
385,398.1660455,311.9191012,347.0645246
386,392.3170717,315.8125162,342.1031178
387,346.5207694,304.8164381,337.0244025
388,459.9229117,358.9267537,405.1942626
389,428.1055368,337.6707931,368.354997
390,459.5003499,353.6072666,393.4456321
391,359.082075,290.8943756,383.9590255
392,396.7483846,308.661376,370.4753903
393,404.9863269,319.5696063,343.658319
394,368.5871788,304.834189,373.5482957
395,388.9414377,298.2539678,374.0846724
396,396.2872619,309.7212925,349.0934296
397,369.6224779,277.2319832,358.6678005
398,356.2363212,321.5516323,337.7859866
399,429.226041,323.8236434,377.5375124
400,358.6857872,311.7320153,360.9657265
401,449.199368,321.5137931,387.6799079
402,360.5875274,288.553611,354.8642089
403,458.8034624,329.5291862,384.3814856
404,395.1493737,320.133119,358.673154
405,383.5399274,319.8125473,367.0230569
406,399.6436129,301.3331925,361.9557913
407,359.5812703,287.653338,377.6640117
408,410.5999365,292.2295488,350.6248499
409,452.9791298,324.9396197,377.0278414
410,423.1948394,304.8788805,373.5492856
411,432.4283926,311.0883932,363.2980054
412,414.5142135,305.4000761,354.9979487
413,453.7463708,321.0567959,363.0889405
414,364.6983057,304.1652147,334.9358886
415,379.7507082,311.248726,378.5895185
416,434.2257484,319.2065017,375.1069805
417,446.9163416,321.0112814,369.4857948
418,417.1865603,305.509849,366.1917992
419,364.4434272,316.0556627,338.4429369
420,425.7129572,316.4402577,357.4328477
421,431.2135122,311.7152717,375.0992393
422,342.2309764,276.7086673,352.7002964
423,353.5516254,297.8628464,375.816221
424,354.9485005,274.8842495,306.6842857
425,414.5691936,307.6301722,332.6336762
426,432.4747047,315.1170488,363.3764356
427,331.6509228,267.0355364,326.1074195
428,353.8872419,301.5933335,366.7768392
429,442.1481981,322.1170155,349.6612664
430,366.0879775,275.0068524,307.4376336
431,391.5400481,293.9708666,340.6451102
432,433.9541337,318.0988946,357.6153855
433,400.3282219,299.1636063,336.9152045
434,407.2684917,302.0420361,333.3863595
435,361.6094576,286.854043,350.9556496
436,374.2127943,301.1366891,377.0452007
437,424.5563619,309.6067026,366.7808356
438,449.6330563,325.6352608,373.2019345
439,397.6223453,300.6522429,325.1192419
440,415.3517229,305.6718958,352.2675952
441,380.9991756,308.9701169,358.5186831
442,446.1336115,314.4603551,368.1397631
443,380.3254433,301.6880779,338.2992869
444,398.7504375,285.2802521,331.3993986
445,396.1424899,284.3954808,375.8696257
